"ID","Title","Date","Location","Author","Source","Image Path","record","Note","Code","Period","Regional_Style","Name","Body_Shape","Soundbox_Chamber_Count","Form","Body_Neck_Boundary","Neck_Width","Waist_Presence","Neck_Length","Soundhole_Count","Maximum_String_Count","Pegbox Presence","Head_Angle","Code","Obvious_Plectrum","Collection","Soundhole_Shape","Obvious_Pickguard","Obvious_Fret","Citation_1","Source_Type_2","Source_Type_3","Source_Type_4","Citation_2","Source_Type_1","Citation_3","Citation_4"
"LI-104","MJ-01","","Maiji Mountain","","","","2026-06-04T11:50:11.039Z","","MJ-01","557-618 CE","China","Maiji 78 Music Scene","round","single","Painting","perpendicular","tapering","no","short","0","4","yes","straight","MJ-01","FALSE","in_situ","n","FALSE","FALSE","Tianshui Maijishan Grottoes Art Research Institute, 1989, p. 13","","","","","catalogue","",""
"LI-105","MJ-02","","Maiji Mountain","","","","2026-06-04T11:50:11.039Z","","MJ-02","557-581 CE","China","Maiji 4 Music Scene","ovoid","single","Painting","smooth","tapering","no","short","2","4","yes","bent_backwards","MJ-02","TRUE","in_situ","crescent","FALSE","FALSE","Tianshui Maijishan Grottoes Art Research Institute, 1989, p. 142","","","","","catalogue","",""
"LI-106","MT-01","","Mathura","","","","2026-06-04T11:50:11.039Z","","MT-01","0-320 CE","North_India","Lute or Veena Player Mathura Kushan","waterdrop","single","Relief","smooth","tapering","no","short","0","2","n","n","MT-01","TRUE","Cleveland Museum of Art","n","FALSE","FALSE","https://commons.wikimedia.org/wiki/File:Lute_or_veena_player,_India,_Mathura,_Kushan_Period_(1st_century-320).jpg","","","","","online_gallery","",""
"LI-107","PC-01","","Pachal Tepe","","","","2026-06-04T11:50:11.039Z","","PC-01","200-400 CE","Bactria","Pachal Tepe Lute Player Figure","rectangular","single","Relief","obtuse","parallel","no","short","0","3","n","n","PC-01","FALSE","State Lenin University, Department of Archaeology","n","FALSE","FALSE","https://sogdians.si.edu/sidebars/retracing-the-sounds-of-sogdiana-sogdian-music-and-musical-instruments-in-central-asia-and-china/","catalogue","","","Besseler & Schneider, 1987, p. 93","online_gallery","",""
"LI-099","MG-33","","Mogao Cave","","","","2026-06-04T11:50:11.038Z","","MG-33","581–618 CE","China","Mogao 420 Music Scene","gourd","triple","Painting","obtuse","parallel","yes","short","0","5","yes","straight","MG-33","FALSE","in_situ","n","FALSE","FALSE","Gao, 2008, p. 309","","","","","catalogue","",""
"LI-100","MG-34","","Mogao Cave","","","","2026-06-04T11:50:11.038Z","","MG-34","581–618 CE","China","Mogao 423 Music Scene","waterdrop","single","Painting","smooth","tapering","no","short","0","5","yes","straight","MG-34","FALSE","in_situ","n","FALSE","FALSE","Gao, 2008, p. 306","","","","","catalogue","",""
"LI-101","MG-35","","Mogao Cave","","","","2026-06-04T11:50:11.038Z","","MG-35","581–618 CE","China","Mogao 423 Music Scene","gourd","triple","Painting","obtuse","parallel","yes","short","0","n","yes","straight","MG-35","FALSE","in_situ","n","FALSE","FALSE","Gao, 2008, p. 309","","","","","catalogue","",""
"LI-102","MG-36","","Mogao Cave","","","","2026-06-04T11:50:11.038Z","","MG-36","557-580 CE","China","Mogao 428 Music Scene","waterdrop","single","Painting","smooth","tapering","no","short","0","n","n","n","MG-36","FALSE","in_situ","n","FALSE","TRUE","Gao, 2008, p. 49","","","","","catalogue","",""
"LI-103","MG-37","","Mogao Cave","","","","2026-06-04T11:50:11.038Z","","MG-37","439-534 CE","China","Mogao 435 Music Scene","waterdrop","single","Painting","smooth","tapering","no","short","0","n","n","bent_backwards","MG-37","TRUE","in_situ","n","FALSE","FALSE","Gao, 2008, p. 43","","","","","catalogue","",""
"LI-093","MG-27","","Mogao Cave","","","","2026-06-04T11:50:11.037Z","","MG-27","581–618 CE","China","Mogao 313 Music Scene","waterdrop","single","Painting","smooth","tapering","no","short","0","5","yes","straight","MG-27","FALSE","in_situ","n","FALSE","FALSE","Gao, 2008, p. 306","","","","","catalogue","",""
"LI-094","MG-28","","Mogao Cave","","","","2026-06-04T11:50:11.037Z","","MG-28","618-704 CE","China","Mogao 321 Music Scene","ovoid","single","Painting","obtuse","tapering","no","short","2","5","yes","straight","MG-28","FALSE","in_situ","crescent","TRUE","FALSE","Gao, 2008, p. 307","","","","","catalogue","",""
"LI-095","MG-29","","Mogao Cave","","","","2026-06-04T11:50:11.037Z","","MG-29","848-906 CE","China","Mogao 358 Music Scene","waterdrop","single","Painting","obtuse","parallel","no","short","0","n","yes","straight","MG-29","TRUE","in_situ","n","TRUE","FALSE","Gao, 2008, p. 79","","","","","catalogue","",""
"LI-096","MG-30","","Mogao Cave","","","","2026-06-04T11:50:11.037Z","","MG-30","907-959 CE","China","Mogao 359 Music Scene","waterdrop","single","Painting","smooth","parallel","no","short","0","n","yes","straight","MG-30","TRUE","in_situ","n","TRUE","FALSE","Gao, 2008, p. 85","","","","","catalogue","",""
"LI-097","MG-31","","Mogao Cave","","","","2026-06-04T11:50:11.037Z","","MG-31","781-847 CE","China","Mogao 360 Music Scene","round","single","Painting","obtuse","tapering","no","short","0","n","n","n","MG-31","TRUE","in_situ","n","TRUE","FALSE","Gao, 2008, p. 108","","","","","catalogue","",""
"LI-098","MG-32","","Mogao Cave","","","","2026-06-04T11:50:11.037Z","","MG-32","781-847 CE","China","Mogao 386 Music Scene","waterdrop","single","Painting","smooth","parallel","no","short","0","n","yes","straight","MG-32","TRUE","in_situ","n","TRUE","FALSE","Gao, 2008, p. 86","","","","","catalogue","",""
