Code,Name,Location,Regional_Style,Period,Form,Body_Shape,Soundbox_Chamber_Count,Waist_Presence,Neck_Length,Neck_Width,Body_Neck_Boundary,Head_Angle,Pegbox Presence,Maximum_String_Count,Soundhole_Count,Soundhole_Shape,Obvious_Fret,Obvious_Plectrum,Obvious_Pickguard,Code,Collection,Source_Type_1,Citation_1,Source_Type_2,Citation_2,Source_Type_3,Citation_3,Source_Type_4,Citation_4
HN-01,Hanikatamu Lute,Hanikatamu,Tarim_Basin,600-700 CE,Relief,waterdrop,single,no,short,tapering,smooth,straight,yes,3,0,n,FALSE,FALSE,FALSE,HN-01,Hotan Prefecture Cultural Relics Management Office,literature,"General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 195",,,,,,
IR-01,Sassanian Lute Player on a Silver Bowl,? Iran,Sassanian,500-600CE,Vessel,waterdrop,single,no,short,tapering,smooth,straight,n,n,0,n,FALSE,TRUE,FALSE,IR-01,?,literature,"Dzhani-zade, 2006, p. 133",,,,,,
IR-02,Sassanian Lute Player on a Silver Teapot,? Iran,Sassanian,700-800 CE,Vessel,ovoid,single,no,short,parallel,smooth,bent_backwards,yes,4,2,crescent,FALSE,TRUE,FALSE,IR-02,?,literature,"Dzhani-zade, 2006, p. 134",,,,,,
IR-03,Sassanian Rebab Player,? Iran,Sassanian,400-600 CE,Vessel,rhombic,single,yes,short,parallel,obtuse,straight,n,2,0,n,FALSE,FALSE,FALSE,IR-03,The Metropolitan Museum of Art,online_collection,https://www.metmuseum.org/art/collection/search/325650,,,,,,
IR-04,Sasanian Plate with Lute Player,? Iran,Sassanian,400-700 CE,Vessel,ovoid,single,no,short,parallel,obtuse,straight,no,2,2,crescent,FALSE,FALSE,FALSE,IR-04,Smithsonian: National Museum of Asian Art,online_collection,https://ids.si.edu/ids/deliveryService?id=FS-F1964.10_001&max_w=800,literature,"de Zeeuw, 2019, p. 11 ",,,,
JM-01,"Jamal Garhi Stair-riser with Luter Player, British Museum",Jamal Garhi,Gandhara,100-300 CE,Relief,waterdrop,single,no,short,tapering,smooth,straight,n,4,2,ring,FALSE,FALSE,FALSE,JM-01,British Museum,online_collection,https://www.britishmuseum.org/collection/object/A_1880-40,,,,,,
JM-02,Jamal Garhi Stair-riser Banquet,Jamal Garhi,Gandhara,100-300 CE,Relief,waterdrop,single,no,short,parallel,obtuse,straight,n,n,0,n,FALSE,FALSE,FALSE,JM-02,British Museum,online_collection,https://www.britishmuseum.org/collection/object/A_1880-33,catalogue,"(Besseler & Schneider, 1981, p. 145)",,,,
JM-03,Jamal Garhi Stair-riser Banquet,Jamal Garhi,Gandhara,100-300 CE,Relief,ovoid,single,no,short,parallel,obtuse,straight,n,n,0,n,FALSE,FALSE,FALSE,JM-03,British Museum,online_collection,https://www.britishmuseum.org/collection/image/149029001,,,,,,
JQ-01,Jiuquan Dingjiazha Lute,Jiuquan,China,304-439 CE,Painting,ovoid,single,no,short,parallel,obtuse,straight,yes,4,2,crescent,TRUE,FALSE,FALSE,JQ-01,in_situ,literature,"Gao, 2008, p. 8",,,,,,
JX-01,Jinxian Horse Rider with Lute,Jinxian Xi'an,China,618-907 CE,Figurine,ovoid,single,no,short,tapering,smooth,n,n,n,2,crescent,FALSE,FALSE,TRUE,JX-01,Henan Museum,online_collection,https://www.chnmus.net/ch/collection/appraise/details.html?id=512157604994293381,,,,,,
KC-01,Khalchayan Bust of a Girl with a Lute,Khalchayan,Bactria,100 BC-100 CE,Statue,waterdrop,single,no,n,n,n,n,n,n,n,n,FALSE,FALSE,FALSE,KC-01,State Museum of Arts of Uzbekistan,catalogue,"The World Society for the Study, 2020b, p. 90",catalogue,"Besseler & Schneider, 1987, p. 75",,,,
KG-01,Kizilgaha 30 Lute,Kizilgaha,Tarim_Basin,600-700 CE,Painting,waterdrop,single,no,short,tapering,smooth,straight,yes,4,0,n,FALSE,TRUE,FALSE,KG-01,in_situ,catalogue,"General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 193",,,,,,
KK-01,Kanka Lute Player,Kanka,Bactria,400-500 CE,Relief,ovoid,single,no,short,tapering,obtuse,n,n,2,2,ring,FALSE,TRUE,FALSE,KK-01,?,literature,"Dzhani-zade, 2006, p. 133",catalogue,"Besseler & Schneider, 1987, p. 139",,,,
KM-01,Kumutula 13 Lute,Kumutula,Tarim_Basin,700-800 CE,Painting,round,single,no,short,parallel,perpendicular,bent_backwards,n,4,0,n,FALSE,FALSE,TRUE,KM-01,in_situ,catalogue,"General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 125",,,,,,
